;;;;;;;;;;X
OLD_CARDINAL_EXPL_OURS;他一度追随我们灵性的指导. ;;;;;;;;;;X
NEW_CARDINAL_EXPL;$NEW$ 满足了他的要求. ;;;;;;;;;;X
NEW_CARDINAL_EXPL_OURS;虽说这样会影响我们的教廷影响力, 但是他仍对我们效忠. ;;;;;;;;;;X
CARDINALDEATH_SETUP;一位枢机主教去世;;;;;;;;;;X
CARDINALDEATH_HEADER;$MESSENGER$;;;;;;;;;;X
CARDINALDEATH_1;一位枢机主教去世了. ;;;;;;;;;;X
CARDINALDEATH_2;$MONARCHTITLE$, ;;;;;;;;;;X
CARDINALDEATH_3;$NAME$ 枢机去世了. ;;;;;;;;;;X
CARDINALDEATH_4;$EXPLANATION$;;;;;;;;;;X
CARDINALDEATH_5;来自 $ORIGIN$ 的 $NEWNAME$ 枢机取代了他的位置. ;;;;;;;;;;X
CARDINALDEATH_6;$EXPLANATION2$;;;;;;;;;;X
CARDINALDEATH_LOG;$NAME$ 枢机去世了, $NEWNAME$ 万岁! ;;;;;;;;;;X
CARDINALDEATH_BTN1;知道了;;;;;;;;;;X
CARDINALDEATH_BTN2;知道了;;;;;;;;;;X
CARDINALDEATH_BTN3;前往;;;;;;;;;;X
CARDINALDEATH_MAP;*;;;;;;;;;;X
HRE_INFLUENCE_DESC;霸主权威反映着霸主在中原内对王公的控制. 当霸主在中原内推行改革时, 就需要一定的权威来支持. ;;;;;;;;;;X
HRE_INFLUENCE_GAIN;以下事件将获得霸主权威:\n - 响应中原成员的求救\n - 驱逐来自中原外的入侵者\n - 统一中原信仰\n - 为中原成员复国\n - 为中原成员从中原外势力解除附属地位\n - 消除中原外势力在中原内的势力范围\n - 省份加入中原\n - 同一国连任霸主;;;;;;;;;;X
HRE_INFLUENCE_LOSS;以下事件将失去霸主权威:\n - 对中原成员的求救不行回应\n - 省份脱离中原\n - 中原成员改宗异端;;;;;;;;;;X
PAPAL_INF_LESS_THAN;教廷影响力少于;;;;;;;;;;X
PAPAL_INF_AT_LEAST;教廷影响力至少;;;;;;;;;;X
ADD_PAPAL_INFLUENCE;教廷影响力;;;;;;;;;;X
PAPACY_IS_ENABLED;教廷已激活;;;;;;;;;;X
PAPACY_IS_DISABLED;教廷没有激活;;;;;;;;;;X
ENABLE_PAPACY;激活教廷;;;;;;;;;;X
DISABLE_PAPACY;关闭教廷;;;;;;;;;;X
gods_kingdom_title;宣布天主之国已降临地上;;;;;;;;;;X
gods_kingdom_desc;全意大利已经统一在圣座的名下, 这是宣布天主之国已降临地上的好时机. ;;;;;;;;;;X
kingdom_of_god;天主的王国;;;;;;;;;;X
desc_kingdom_of_god;圣座宣布意大利是地上的天主王国. ;;;;;;;;;;X
EVTNAME2021;地上的天主王国;;;;;;;;;;X
EVTDESC2021;在圣教会里意大利得到统一. 教宗阁下宣布这是显现在人间的天主之国. 全欧洲的中原徒服膺于圣教会的旗号下, 热切渴望居于此模范的基督王国里. 外国势力无法再插手枢机团中的事务, 同时也不再对宗座的诏令与训示热切关注. ;;;;;;;;;;X
EVTOPTA2021;亚孟;;;;;;;;;;X
CULTURE_GROUP_UNION;$NEW$不再有异文化惩罚. \n;;;;;;;;;;X
RESET_CULTURE_GROUP_UNION;$OLD$再次出现异文化惩罚. \n;;;;;;;;;;X
SPAWN_EVENT;'$WHICH$'事件已发生. \n;;;;;;;;;;X
CG_UNION_DESC;$GROUP$文化视 $COUNTRY$ 为他们的母国, 因此不再有异文化惩罚. ;;;;;;;;;;X
INTERREGNUM;(空位期);;;;;;;;;;X
EMBARGOHAVETRUCE;和约期间, 我们不能对他们实施禁运. ;;;;;;;;;;X
EVTNAME5060;扫帚星;;;;;;;;;;X
EVTDESC5060;农民都是迷信的, 当有扫帚星出现便足以引起恐慌. 他们认为这是末日的先兆, 以为即将会有大祸临头. ;;;;;;;;;;X
EVTOPTA5060;这是一个预示;;;;;;;;;;X
EVTOPTB5060;末日已近! ;;;;;;;;;;X
EVTOPTC5060;无视这些乡巴佬;;;;;;;;;;X
TREATIES_TO_ANNUL;$WHO$ 将废除与 $WHAT$ 的一切协议与条约. ;;;;;;;;;;X
CB_ALLOWED_ANNUL;废除条约;;;;;;;;;;X
PEACE_ANNUL;废除条约;;;;;;;;;;X
TRUCEWITHMASTERDESC;我们不能与他们签署任何条约, 这是和约里的要求. 这个要求来自 ;;;;;;;;;;X
CURIACONTROLPAP;教宗回答只有上帝. ;;;;;;;;;;X
CURIACONTROLTAG;教会史上的黑色日子. ;;;;;;;;;;X
CURIACONTROLLEROTHER_SETUP;当一国成为教廷控制者;;;;;;;;;;X
CURIACONTROLLEROTHER_HEADER;来自教廷的消息;;;;;;;;;;X
CURIACONTROLLEROTHER_1;教廷里的权力比拼;;;;;;;;;;X
CURIACONTROLLEROTHER_2;$PLAYERTITLE$, $CONTROLLER$赢得最多枢机的效忠, 成为了;;;;;;;;;;X
CURIACONTROLLEROTHER_3;教廷控制者;;;;;;;;;;X
CURIACONTROLLEROTHER_4;$COMMENT$;;;;;;;;;;X
CURIACONTROLLEROTHER_5;*;;;;;;;;;;X
CURIACONTROLLEROTHER_6;*;;;;;;;;;;X
CURIACONTROLLEROTHER_LOG;$CONTROLLER$ 是新的教廷控制者. ;;;;;;;;;;X
CURIACONTROLLEROTHER_BTN1;知道了;;;;;;;;;;X
CURIACONTROLLEROTHER_BTN2;知道了;;;;;;;;;;X
CURIACONTROLLEROTHER_BTN3;前往;;;;;;;;;;X
CURIACONTROLLEROTHER_MAP;*;;;;;;;;;;X
EXCOM_TARGET_HIGH_REL;他们与教廷的关系太多了. ;;;;;;;;;;X
EXCOM_TARGET_HIGH_INF;他们对宗座的影响太大了. ;;;;;;;;;;X
non_accepted_culture_republic;共和国的异文化容忍;;;;;;;;;;X
CD_TRADE_LEAGUE;$LEAGUE$ 同盟的成员. ;;;;;;;;;;X
TRADELEAGUETITLE;邀请加入商业同盟;;;;;;;;;;X
TRADELEAGUE2TITLE;加入商业同盟;;;;;;;;;;X
CANCELTRADELEAGUETITLE;开除商业同盟成员资格;;;;;;;;;;X
CANCELTRADELEAGUE2TITLE;脱离同盟成员;;;;;;;;;;X
TRADELEAGUENEWDESC;是否希望邀请 $COUNTRY$ 加入我们的商业同盟? 同盟成员间不会互相竞争, 而他们的产品也倾向\n在同盟的贸易中心里交易. ;;;;;;;;;;X
TRADELEAGUE2NEWDESC;是否希望请求 $COUNTRY$ 让我们加入他们的商业同盟? 同盟成员间不会互相竞争, 而他们的产品也倾向\n在同盟的贸易中心里交易. ;;;;;;;;;;X
CANCELTRADELEAGUENEWDESC;是否希望开除 $COUNTRY$ 的同盟成员资格? 这会引起他们不满. ;;;;;;;;;;X
CANCELTRADELEAGUE2NEWDESC;是否希望脱离 $COUNTRYADJ$ 的商业同盟? 这会引起他们不满. ;;;;;;;;;;X
TRADELEAGUEDESC;同盟成员间不会互相竞争, 国内产品也倾向在同盟的贸易中心里交易. ;;;;;;;;;;X
CANCELTRADELEAGUEDESC;开除他们的同盟成员资格, 这会引起他们不满. ;;;;;;;;;;X
CANCELTRADELEAGUE2DESC;脱离他们的商业同盟, 这会引起他们不满. ;;;;;;;;;;X
TRADELEAGUEREQDESC; $COUNTRY$ 邀请我们加入他们的商业同盟. 同盟成员间不会互相竞争, 而他们的产品也倾向在同盟的贸易中心里交易. ;;;;;;;;;;X
TRADELEAGUE2REQDESC; $COUNTRY$ 希望加入我们的商业同盟. 同盟成员间不会互相竞争, 而他们的产品也倾向在同盟的贸易中心里交易. ;;;;;;;;;;X
BOTHINLEAGUE;我们都已经加入商业同盟;;;;;;;;;;X
ACTRALEWITHUS_SETUP;一国与我们签署商业同盟协议;;;;;;;;;;X
ACTRALEWITHUS_HEADER;来自;;;;;;;;;;X
ACTRALEWITHUS_1;$RECIPIENT$的使者;;;;;;;;;;X
ACTRALEWITHUS_2;$MONARCHTITLE$, ;;;;;;;;;;X
ACTRALEWITHUS_3;$RECIPIENT$;;;;;;;;;;X
ACTRALEWITHUS_4;同意我们的所提出的;;;;;;;;;;X
ACTRALEWITHUS_5;商业同盟;;;;;;;;;;X
ACTRALEWITHUS_6;同盟成员间不会互相竞争, 而他们的产品也倾向在同盟的贸易中心里交易. ;;;;;;;;;;X
ACTRALEWITHUS_LOG;$RECIPIENT$ 与我们签署商业同盟协议. ;;;;;;;;;;X
ACTRALEWITHUS_BTN1;知道了;;;;;;;;;;X
ACTRALEWITHUS_BTN2;知道了;;;;;;;;;;X
ACTRALEWITHUS_BTN3;前往;;;;;;;;;;X
ACTRALEWITHUS_MAP;*;;;;;;;;;;X
WETRADELE_SETUP;我们与一国签署商业同盟协议;;;;;;;;;;X
WETRADELE_HEADER;$MESSENGER$;;;;;;;;;;X
WETRADELE_1;$LEAGUEADJ$ 同盟;;;;;;;;;;X
WETRADELE_2;$MONARCHTITLE$, 经过深思熟虑后我们签署了;;;;;;;;;;X
WETRADELE_3;商业同盟;;;;;;;;;;X
WETRADELE_4;加入;;;;;;;;;;X
WETRADELE_5;$ACTOR$的商业同盟;;;;;;;;;;X
WETRADELE_6;同盟成员间不会互相竞争, 而他们的产品也倾向在同盟的贸易中心里交易. ;;;;;;;;;;X
WETRADELE_LOG;我们与 $ACTOR$ 签署了商业同盟协议. ;;;;;;;;;;X
WETRADELE_BTN1;知道了;;;;;;;;;;X
WETRADELE_BTN2;知道了;;;;;;;;;;X
WETRADELE_BTN3;前往;;;;;;;;;;X
WETRADELE_MAP;*;;;;;;;;;;X
OTHERTRADELE_SETUP;两国签署商业同盟协议;;;;;;;;;;X
OTHERTRADELE_HEADER;来自;;;;;;;;;;X
OTHERTRADELE_1;$LEAGUEADJ$同盟的使者;;;;;;;;;;X
OTHERTRADELE_2;$MONARCHTITLE$, 我们刚收到通知;;;;;;;;;;X
OTHERTRADELE_3;$ACTOR$ 与 $RECIPIENT$;;;;;;;;;;X
OTHERTRADELE_4;签署了;;;;;;;;;;X
OTHERTRADELE_5;商业同盟;;;;;;;;;;X
OTHERTRADELE_6;*;;;;;;;;;;X
OTHERTRADELE_LOG;$RECIPIENT$ 与 $ACTOR$ 签署商业同盟协议. ;;;;;;;;;;X
OTHERTRADELE_BTN1;知道了;;;;;;;;;;X
OTHERTRADELE_BTN2;知道了;;;;;;;;;;X
OTHERTRADELE_BTN3;前往;;;;;;;;;;X
OTHERTRADELE_MAP;*;;;;;;;;;;X
DETRALEWITHUS_SETUP;一国拒绝与我们签署商业同盟协议;;;;;;;;;;X
DETRALEWITHUS_HEADER;来自;;;;;;;;;;X
DETRALEWITHUS_1;$RECIPIENT$的使者;;;;;;;;;;X
DETRALEWITHUS_2;$MONARCHTITLE$, $RECIPIENT$ 拒绝与我们签署;;;;;;;;;;X
DETRALEWITHUS_3;商业同盟;;;;;;;;;;X
DETRALEWITHUS_4;这是他们的损失. ;;;;;;;;;;X
DETRALEWITHUS_5;*;;;;;;;;;;X
DETRALEWITHUS_6;*;;;;;;;;;;X
DETRALEWITHUS_LOG;$RECIPIENT$ 拒绝与我们签署商业同盟协议. ;;;;;;;;;;X
DETRALEWITHUS_BTN1;知道了;;;;;;;;;;X
DETRALEWITHUS_BTN2;知道了;;;;;;;;;;X
DETRALEWITHUS_BTN3;前往;;;;;;;;;;X
DETRALEWITHUS_MAP;*;;;;;;;;;;X
WEDETRALE_SETUP;我们拒绝签署商业同盟协议;;;;;;;;;;X
WEDETRALE_HEADER;$MESSENGER$;;;;;;;;;;X
WEDETRALE_1;$LEAGUEADJ$同盟;;;;;;;;;;X
WEDETRALE_2;$MONARCHTITLE$, 我们拒绝了;;;;;;;;;;X
WEDETRALE_3;商业同盟;;;;;;;;;;X
WEDETRALE_4;的提议;;;;;;;;;;X
WEDETRALE_5;$ACTOR$感到很不解;;;;;;;;;;X
WEDETRALE_6;其实这对我们利益不大...;;;;;;;;;;X
WEDETRALE_LOG;我们拒绝与 $ACTOR$ 签署商业同盟协议. ;;;;;;;;;;X
WEDETRALE_BTN1;知道了;;;;;;;;;;X
WEDETRALE_BTN2;知道了;;;;;;;;;;X
WEDETRALE_BTN3;前往;;;;;;;;;;X
WEDETRALE_MAP;*;;;;;;;;;;X
DETRALEWITHOTHER_SETUP;两国缔结商业同盟失败;;;;;;;;;;X
DETRALEWITHOTHER_HEADER;来自;;;;;;;;;;X
DETRALEWITHOTHER_1;$LEAGUEADJ$同盟的使者;;;;;;;;;;X
DETRALEWITHOTHER_2;$MONARCHTITLE$, $RECIPIENT$;;;;;;;;;;X
DETRALEWITHOTHER_3;拒绝加入;;;;;;;;;;X
DETRALEWITHOTHER_4;$ACTOR$的商业同盟;;;;;;;;;;X
DETRALEWITHOTHER_5;*;;;;;;;;;;X
DETRALEWITHOTHER_6;*;;;;;;;;;;X
DETRALEWITHOTHER_LOG;$RECIPIENT$ 拒绝签署 $ACTOR$ 提出的商业同盟协议. ;;;;;;;;;;X
DETRALEWITHOTHER_BTN1;知道了;;;;;;;;;;X
DETRALEWITHOTHER_BTN2;知道了;;;;;;;;;;X
DETRALEWITHOTHER_BTN3;前往;;;;;;;;;;X
WEBRKTRADELE_SETUP;我们取消商业同盟协议;;;;;;;;;;X
WEBRKTRADELE_HEADER;$MESSENGER$;;;;;;;;;;X
WEBRKTRADELE_1;$LEAGUEADJ$同盟! ;;;;;;;;;;X
WEBRKTRADELE_2;$MONARCHTITLE$, 我们已经取消;;;;;;;;;;X
WEBRKTRADELE_3;与$RECIPIENT$签定的商业同盟协议;;;;;;;;;;X
WEBRKTRADELE_4;*;;;;;;;;;;X
WEBRKTRADELE_5;*;;;;;;;;;;X
WEBRKTRADELE_6;*;;;;;;;;;;X
WEBRKTRADELE_LOG;我们已取消与$RECIPIENT$的商业同盟协议. ;;;;;;;;;;X
WEBRKTRADELE_BTN1;知道了;;;;;;;;;;X
WEBRKTRADELE_BTN2;知道了;;;;;;;;;;X
WEBRKTRADELE_BTN3;前往;;;;;;;;;;X
WEBRKTRADELE_MAP;*;;;;;;;;;;X
BRKTRADELEUS_SETUP;一国取消与我们的商业同盟协议;;;;;;;;;;X
BRKTRADELEUS_HEADER;来自;;;;;;;;;;X
BRKTRADELEUS_1;$ACTOR$的使者;;;;;;;;;;X
BRKTRADELEUS_2;$MONARCHTITLE$, 愚不可及的;;;;;;;;;;X
BRKTRADELEUS_3;$ACTOR$;;;;;;;;;;X
BRKTRADELEUS_4;背弃了我们之间的;;;;;;;;;;X
BRKTRADELEUS_5;Trade League Compact;;;;;;;;;;X
BRKTRADELEUS_6;他们必须为此负责! ;;;;;;;;;;X
BRKTRADELEUS_LOG;$ACTOR$ 取消了我们之间的商业同盟协议. ;;;;;;;;;;X
BRKTRADELEUS_BTN1;知道了;;;;;;;;;;X
BRKTRADELEUS_BTN2;知道了;;;;;;;;;;X
BRKTRADELEUS_BTN3;前往;;;;;;;;;;X
BRKTRADELEUS_MAP;*;;;;;;;;;;X
BRKTRADELEOTH_SETUP;有国家脱离其他商业同盟;;;;;;;;;;X
BRKTRADELEOTH_HEADER;来自;;;;;;;;;;X
BRKTRADELEOTH_1;$LEAGUEADJ$同盟的使者;;;;;;;;;;X
BRKTRADELEOTH_2;$MONARCHTITLE$, 我们希望知会您;;;;;;;;;;X
BRKTRADELEOTH_3;$ACTOR$;;;;;;;;;;X
BRKTRADELEOTH_4;已经脱离了;;;;;;;;;;X
BRKTRADELEOTH_5;$RECIPIENT$的商业同盟;;;;;;;;;;X
BRKTRADELEOTH_6;*;;;;;;;;;;X
BRKTRADELEOTH_LOG;$ACTOR$ 脱离了 $RECIPIENT$的商业同盟. ;;;;;;;;;;X
BRKTRADELEOTH_BTN1;知道了;;;;;;;;;;X
BRKTRADELEOTH_BTN2;知道了;;;;;;;;;;X
BRKTRADELEOTH_BTN3;前往;;;;;;;;;;X
BRKTRADELEOTH_MAP;*;;;;;;;;;;X
EMBARGOHAVETRADE;我们之间有贸易协议! ;;;;;;;;;;X
EMBARGOHAVETRADELEAGUE;我们在同一商业同盟之内! ;;;;;;;;;;X
DIPRELCH_TRADELEAGUE;商业同盟盟友;;;;;;;;;;X
PROV_TRADE_LEAGUE;$COUNTRYADJ$同盟  的一部分;;;;;;;;;;X
COTTRADEAGCOMPETE;在贸易协议之下, 我们的商人不会与之竞争;;;;;;;;;;X
COTLEAGUECOMPETE;我们都是$LEAGUE$同盟  的成员, 我们的商人不会与之竞争 . ;;;;;;;;;;X
MERCANTILE_DIPLO;领导一个商业同盟\n可以请求贸易权;;;;;;;;;;X
GOV_TRIBAL_WOES;部落继承危机;;;;;;;;;;X
CCOT_LEAGUE_LIMIT;作为商业同盟成员, 你不能够自行建立贸易中心. ;;;;;;;;;;X
HRE_DECISIONS;霸主提议;;;;;;;;;;X
ALL_OWNED_PROVS;所有治下省份;;;;;;;;;;X
EVTNAME1093;同盟贸易站关闭;;;;;;;;;;X
EVTDESC1093;我们不再是商业同盟成员, 因此所有国内的同盟贸易站都会关闭. ;;;;;;;;;;X
EVTOPTA1093;终于能摆脱! ;;;;;;;;;;X
EVTNAME1094;建立同盟贸易站;;;;;;;;;;X
EVTDESC1094;$LEAGUE_ADJ$同盟商人计划在 $PROVINCENAME$ 建立同盟贸易站. ;;;;;;;;;;X
EVTOPTA1094;欢迎! ;;;;;;;;;;X
league_kontor;同盟贸易站;;;;;;;;;;X
desc_league_kontor;我们的商业同盟在此建立起一个同盟贸易站. ;;;;;;;;;;X
IN_TRADE_LEAGUE;是商业同盟成员;;;;;;;;;;X
NOT_IN_TRADE_LEAGUE;不是商业同盟成员;;;;;;;;;;X
alert_disputed_succession_instant;继承争议;;;;;;;;;;X
alert_disputed_succession_delayed;以下国家缺乏一位众望所归的继承人:\n$LIST$;;;;;;;;;;X
ACTRARIWITHUS_SETUP;一国同意我们的专卖提议;;;;;;;;;;X
ACTRARIWITHUS_HEADER;来自;;;;;;;;;;X
ACTRARIWITHUS_1;$RECIPIENT$的使者;;;;;;;;;;X
ACTRARIWITHUS_2;$MONARCHTITLE$, 我们现在拥有独家的;;;;;;;;;;X
ACTRARIWITHUS_3;$GOODS$专卖权;;;;;;;;;;X
ACTRARIWITHUS_4;这使我们能够;;;;;;;;;;X
ACTRARIWITHUS_5;在$RECIPIENT$内专营这项商品;;;;;;;;;;X
ACTRARIWITHUS_6;他们国内所出产的$GOODS$\n自此必须在我们的贸易中心交易. ;;;;;;;;;;X
ACTRARIWITHUS_LOG;$RECIPIENT$ 给予我们 $GOODS$ 的专营权. ;;;;;;;;;;X
ACTRARIWITHUS_BTN1;发财了;;;;;;;;;;X
ACTRARIWITHUS_BTN2;发财了;;;;;;;;;;X
ACTRARIWITHUS_BTN3;前往;;;;;;;;;;X
ACTRARIWITHUS_MAP;*;;;;;;;;;;X
OTHERTRADERI_SETUP;一国给予专营权予另一国;;;;;;;;;;X
OTHERTRADERI_HEADER;来自;;;;;;;;;;X
OTHERTRADERI_1;$ACTOR$的使者;;;;;;;;;;X
OTHERTRADERI_2;$MONARCHTITLE$, 我们已经知会您;;;;;;;;;;X
OTHERTRADERI_3;$RECIPIENT$;;;;;;;;;;X
OTHERTRADERI_4;已经将$GOODS$ 的专营权给予;;;;;;;;;;X
OTHERTRADERI_5;$ACTOR$;;;;;;;;;;X
OTHERTRADERI_6;他们国内出产的$GOODS$自此必须在 $LEAGUEADJ$ 贸易中心交易. ;;;;;;;;;;X
OTHERTRADERI_LOG;$RECIPIENT$ 给予 $ACTOR$ $GOODS$ 的专营权. ;;;;;;;;;;X
OTHERTRADERI_BTN1;知道了;;;;;;;;;;X
OTHERTRADERI_BTN2;知道了;;;;;;;;;;X
OTHERTRADERI_BTN3;前往;;;;;;;;;;X
OTHERTRADERI_MAP;*;;;;;;;;;;X
WETRADERI_SETUP;我们给予一国专营权;;;;;;;;;;X
WETRADERI_HEADER;$MESSENGER$;;;;;;;;;;X
WETRADERI_1;专营权! ;;;;;;;;;;X
WETRADERI_2;$MONARCHTITLE$, 我们已决定给予;;;;;;;;;;X
WETRADERI_3;即$GOODS$ 专卖权;;;;;;;;;;X
WETRADERI_4;予;;;;;;;;;;X
WETRADERI_5;$ACTOR$;;;;;;;;;;X
WETRADERI_6;我国所出产的 $GOODS$ 将会运往他们的贸易中心. ;;;;;;;;;;X
WETRADERI_LOG;我们赋予$ACTOR$ $GOODS$ 专营权. ;;;;;;;;;;X
WETRADERI_BTN1;知道了;;;;;;;;;;X
WETRADERI_BTN2;知道了;;;;;;;;;;X
WETRADERI_BTN3;前往;;;;;;;;;;X
WETRADERI_MAP;*;;;;;;;;;;X
DETRARIWITHUS_SETUP;一国拒绝我们的专卖提议;;;;;;;;;;X
DETRARIWITHUS_HEADER;来自;;;;;;;;;;X
DETRARIWITHUS_1;$RECIPIENT$的使者;;;;;;;;;;X
DETRARIWITHUS_2;$MONARCHTITLE$, 我们遗憾地通知您;;;;;;;;;;X
DETRARIWITHUS_3;$RECIPIENT$;;;;;;;;;;X
DETRARIWITHUS_4;愚蠢地拒绝了我们所提出的;;;;;;;;;;X
DETRARIWITHUS_5;$GOODS$专卖权协议;;;;;;;;;;X
DETRARIWITHUS_6;*;;;;;;;;;;X
DETRARIWITHUS_LOG;$RECIPIENT$ 拒绝给予我们 $GOODS$ 的专营权. ;;;;;;;;;;X
DETRARIWITHUS_BTN1;知道了;;;;;;;;;;X
DETRARIWITHUS_BTN2;知道了;;;;;;;;;;X
DETRARIWITHUS_BTN3;前往;;;;;;;;;;X
DETRARIWITHUS_MAP;*;;;;;;;;;;X
DETRARIWITHOTHER_SETUP;一国拒绝另一国的专卖提议;;;;;;;;;;X
DETRARIWITHOTHER_HEADER;来自;;;;;;;;;;X
DETRARIWITHOTHER_1;$RECIPIENT$的使者;;;;;;;;;;X
DETRARIWITHOTHER_2;$MONARCHTITLE$, $RECIPIENT$ 拒绝给予;;;;;;;;;;X
DETRARIWITHOTHER_3;$GOODS$专卖权;;;;;;;;;;X
DETRARIWITHOTHER_4;给;;;;;;;;;;X
DETRARIWITHOTHER_5;$ACTOR$;;;;;;;;;;X
DETRARIWITHOTHER_6;*;;;;;;;;;;X
DETRARIWITHOTHER_LOG;$RECIPIENT$ 拒绝将 $GOODS$ 的专营权赋予 $ACTOR$. ;;;;;;;;;;X
DETRARIWITHOTHER_BTN1;知道了;;;;;;;;;;X
DETRARIWITHOTHER_BTN2;知道了;;;;;;;;;;X
DETRARIWITHOTHER_BTN3;前往;;;;;;;;;;X
WEDETRARI_SETUP;我们拒绝了一项专卖提议;;;;;;;;;;X
WEDETRARI_HEADER;$MESSENGER$;;;;;;;;;;X
WEDETRARI_1;专营权! ;;;;;;;;;;X
WEDETRARI_2;$MONARCHTITLE$, 我们拒绝将;;;;;;;;;;X
WEDETRARI_3;$GOODS$专卖权;;;;;;;;;;X
WEDETRARI_4;赋予那些冒昧放肆的;;;;;;;;;;X
WEDETRARI_5;$ACTORS$商人;;;;;;;;;;X
WEDETRARI_6;希望他们不再拿这些疯话来烦扰我们! ;;;;;;;;;;X
WEDETRARI_LOG;我们拒绝将 $GOODS$ 的专营权赋予 $ACTOR$. ;;;;;;;;;;X
WEDETRARI_BTN1;知道了;;;;;;;;;;X
WEDETRARI_BTN2;知道了;;;;;;;;;;X
WEDETRARI_BTN3;前往;;;;;;;;;;X
WEDETRARI_MAP;*;;;;;;;;;;X
BRKTRADERIUS_SETUP;一国收回我们的专营权;;;;;;;;;;X
BRKTRADERIUS_HEADER;来自;;;;;;;;;;X
BRKTRADERIUS_1;$ACTOR$的使者;;;;;;;;;;X
BRKTRADERIUS_2;$MONARCHTITLE$, 脑袋装石头的矮人族;;;;;;;;;;X
BRKTRADERIUS_3;$ACTOR$;;;;;;;;;;X
BRKTRADERIUS_4;收回我们的;;;;;;;;;;X
BRKTRADERIUS_5;$GOODS$专卖权;;;;;;;;;;X
BRKTRADERIUS_6;*;;;;;;;;;;X
BRKTRADERIUS_LOG;$ACTOR$ 收回我们对 $GOODS$ 的专卖权. ;;;;;;;;;;X
BRKTRADERIUS_BTN1;知道了;;;;;;;;;;X
BRKTRADERIUS_BTN2;知道了;;;;;;;;;;X
BRKTRADERIUS_BTN3;前往;;;;;;;;;;X
BRKTRADERIUS_MAP;*;;;;;;;;;;X
BRKTRADERIOTH_SETUP;当一国打破与另一国的贸易权条约时;;;;;;;;;;X
BRKTRADERIOTH_HEADER;传令官, 来自于;;;;;;;;;;X
BRKTRADERIOTH_1;$RECIPIENT$;;;;;;;;;;X
BRKTRADERIOTH_2;$MONARCHTITLE$, 我们有幸告知您;;;;;;;;;;X
BRKTRADERIOTH_3;$ACTOR$;;;;;;;;;;X
BRKTRADERIOTH_4;已经打破了他们和 $RECIPIENT$的关于;;;;;;;;;;X
BRKTRADERIOTH_5;$GOODS$ 的贸易权条约;;;;;;;;;;X
BRKTRADERIOTH_6;*;;;;;;;;;;X
BRKTRADERIOTH_LOG;$ACTOR$ 打破了他们和 $RECIPIENT$ 的关于 $GOODS$ 的贸易权条约. ;;;;;;;;;;X
BRKTRADERIOTH_BTN1;知道了;;;;;;;;;;X
BRKTRADERIOTH_BTN2;知道了;;;;;;;;;;X
BRKTRADERIOTH_BTN3;转到;;;;;;;;;;X
BRKTRADERIOTH_MAP;*;;;;;;;;;;X
WEBRKTRADERI_SETUP;当我们打破了与另一国的条约;;;;;;;;;;X
WEBRKTRADERI_HEADER;$MESSENGER$;;;;;;;;;;X
WEBRKTRADERI_1;贸易权条约终止了！;;;;;;;;;;X
WEBRKTRADERI_2;$MONARCHTITLE$, 我们结束了毫无意义的;;;;;;;;;;X
WEBRKTRADERI_3;和 $RECIPIENT$ 的关于;;;;;;;;;;X
WEBRKTRADERI_4; $GOODS$ ;;;;;;;;;;X
WEBRKTRADERI_5;的贸易权条约;;;;;;;;;;X
WEBRKTRADERI_6;*;;;;;;;;;;X
WEBRKTRADERI_LOG;我们打破了与 $RECIPIENT$ 的关于 $GOODS$ 的贸易权条约. ;;;;;;;;;;X
WEBRKTRADERI_BTN1;很好;;;;;;;;;;X
WEBRKTRADERI_BTN2;很好;;;;;;;;;;X
WEBRKTRADERI_BTN3;转到;;;;;;;;;;X
WEBRKTRADERI_MAP;*;;;;;;;;;;X
TRADERIGHTSREQDESC; $COUNTRY$ 要求我们准予他们对 $GOODS$ 的独占贸易权. \n所有省份生产的 $GOODS$ 商品贸易将通过其拥有的\n贸易中心. \n省份新状态:\n$MODIFIER$;;;;;;;;;;X
TRADERIGHTSDESC;一个贸易权条约允许他们的所有此类货物得以通过\n我们的贸易中心进行交易. ;;;;;;;;;;X
CANCELTRADERIGHTSDESC;取消我们对 $GOODS$ 的贸易权条约. ;;;;;;;;;;X
TRADERIGHTSRIVAL;我们不能向其他贸易共和国要求贸易权. ;;;;;;;;;;X
TRADERIGHTSNEWDESC;您想要求 $COUNTRY$ 提供我们对$GOODS$ 的独占贸易权吗? 这将导致所有的 $GOODS$ 商品必须通过我们的贸易中心进行交易. ;;;;;;;;;;X
CANCELTRADERIGHTSNEWDESC;您想取消和 $COUNTRY$ 的关于 $GOODS$的贸易权吗? ;;;;;;;;;;X
TRADERIGHTSTITLE;要求贸易权;;;;;;;;;;X
CANCELTRADERIGHTSTITLE;取消贸易权;;;;;;;;;;X
ALREADYTRADERIGHTS;他们已经把 $GOODS$ 的贸易权交给 $OTHER$ 了! ;;;;;;;;;;X
NOT_THE_EMPEROR;你不是霸主! ;;;;;;;;;;X
YEARLY_LEGITIMACY;年度正统性变化;;;;;;;;;;X
MODIFIER_LOCAL_COT_GRAVITY;本地贸易中心吸引力;;;;;;;;;;X
MODIFIER_GLOBAL_COT_GRAVITY;国家贸易中心吸引力;;;;;;;;;;X
num_of_marriages;皇家联姻数量;;;;;;;;;;X
CVIEW_LEGITIMACY;正统性;;;;;;;;;;X
