province;red;green;blue;XXX
1124;120;199;255;新昌
1125;194;214;36;辽队
1126;59;199;74;居就
1127;3;51;171;辽阳
1128;194;18;46;望平
1129;138;228;114;高显
1130;105;199;158;无虑
1131;148;82;89;险渎
1132;189;212;46;扶黎
1133;150;214;23;昌黎
1134;102;204;173;徒河
1135;33;217;199;玄菟
1136;133;212;191;丸都
1137;224;255;73;国内城
1138;97;81;199;长岑
1139;38;153;184;列口
1140;156;145;69;海冥
1141;112;199;107;屯有
1142;247;128;43;带方
1143;115;130;156;含资
1144;46;66;145;提奚
1145;227;77;126;增地
1146;224;199;77;浑弥
1147;156;217;186;冉邯
1148;128;117;247;遂城
1149;156;120;64;占蝉
1150;117;71;153;驷望
1151;110;199;207;镂方
1152;130;209;97;贝水
1153;247;135;84;邪头昧
1154;243;43;46;华丽
1155;235;189;196;前莫
1156;161;214;176;蚕台
1157;176;110;102;俊靡
1158;171;94;222;肥如
1159;158;191;204;临渝
1160;128;186;120;江乘
1161;153;156;212;胡孰
1162;207;69;71;句容
1163;135;204;79;石城
1164;207;222;168;粟阳
1165;209;186;192;春谷
1166;138;99;122;泾县
1167;232;13;33;海盐
1168;33;48;179;余杭
1169;107;156;140;富春
1170;97;97;69;余既
1171;145;179;179;上虞
1172;37;58;0;余姚
1173;255;35;237;贸县
1174;193;255;70;剡县
1175;217;194;148;沓中
1176;4;221;255;桥头
1177;209;207;33;阳安关
1178;219;48;51;关城
1179;26;26;232;剑阁
1180;199;112;54;定军山
1181;66;112;138;涪县
1182;153;219;176;雒县
1183;125;128;46;新都
1184;107;212;92;广都
1185;110;87;48;江原
1186;224;222;220;广汉
1187;28;46;220;安汉
1188;69;61;61;牛鞞
1189;250;175;73;汉昌
1190;207;59;82;宣汉
1191;79;122;56;鱼复
1192;184;181;156;汉安
1193;161;135;212;繁县
1194;207;79;48;什邡
1195;156;112;48;籍姑
1196;230;204;222;繁庞
1197;224;196;232;元里
1198;222;237;46;汪
1199;94;140;163;辅氏
1200;227;59;33;怀德
1201;158;43;212;下邽
1202;140;251;0;阴晋
1203;41;58;28;翟道
1204;33;97;156;漆垣
1205;214;26;43;东陵
1206;59;43;54;金兰
1207;158;230;71;蕲春
1208;179;207;212;寻阳
1209;84;69;48;松兹
1210;230;112;23;下雉
1211;163;245;28;成德
1212;73;214;143;当涂
1213;153;168;81;曲阳
1214;247;176;201;阴陵
1215;252;3;31;全椒
1216;158;209;117;建阳
1217;207;209;199;枞阳
1218;171;79;41;浚遒
1219;83;45;255;乌秆
1220;188;228;41;西夜
1221;188;228;7;子合
1222;77;163;66;蒲犁
1223;238;126;66;依耐
1224;85;48;255;小宛
1225;188;228;35;无雷
1226;91;48;255;桃槐
1227;188;228;38;休循
1228;188;228;2;捐毒
1229;83;48;247;莎车
1230;83;40;247;疏勒
1231;233;184;37;尉头
1232;161;127;25;危须
1233;223;194;106;焉耆
1234;235;111;17;墨山
1235;15;228;183;狐胡
1236;64;63;5;渠犁
1237;0;120;255;黄河天险
1238;0;120;70;中条山
1239;200;150;70;五莲山
1240;150;150;70;大洪山
1241;150;120;120;桐柏山
1242;0;130;200;黄河天险
1243;0;150;220;黄河天险
1244;210;160;80;蒙山
1245;180;180;80;沂山
1246;0;130;200;黄河天险
1247;230;200;40;山川平原
1248;40;220;190;山川平原
1249;90;20;200;山川平原
1250;200;180;180;山川平原
1251;130;40;130;山川平原
1252;70;200;90;山川平原
1253;80;200;150;山川平原
1254;20;30;10;山川平原
1255;230;30;60;山川平原
1256;240;210;250;山川平原
1257;210;50;100;山川平原
1258;210;180;80;山川平原
1259;40;50;200;山川平原
1260;170;40;30;山川平原
1261;140;30;170;山川平原
1262;60;240;70;山川平原
1263;160;70;10;山川平原
1264;240;20;10;山川平原
1265;200;130;70;山川平原
1266;120;180;60;山川平原
1267;80;200;220;山川平原
1268;220;150;10;山川平原
1269;50;210;60;山川平原
1270;210;90;190;山川平原
1271;150;45;10;山川平原
1272;145;110;250;山川平原
1273;160;150;245;山川平原
1274;145;100;250;山川平原
1275;150;60;245;山川平原
1276;145;115;120;山川平原
1277;160;140;255;山川平原
1278;220;230;45;山川平原
1279;30;245;50;山川平原
1280;130;160;185;山川平原
1281;156;121;168;山川平原
1282;215;95;190;山川平原
1283;135;40;10;山川平原
1284;145;85;10;山川平原
1285;135;75;128;山川平原
1286;225;195;130;山川平原
1287;55;50;235;山川平原
1288;50;95;5;山川平原
1289;215;200;20;山川平原
1290;35;95;245;山川平原
1291;195;190;215;山川平原
1292;225;112;56;山川平原
